,location,price,bedrooms,bathrooms,garage,area
273,Jardín Real,"
                    $15,500
                    
                ",3,2,2,248 m²
274,Hacienda del Tepeyac,"
                    $18,000
                    
                ",3,3,2,125 m²
275,El Fortín,"
                    $12,500
                    
                ",3,3,2,91 m²
276,Jardines Universidad,"
                    $19,500
                    
                ",2,2,2,81 m²
277,Hacienda del Tepeyac,"
                    $17,000
                    
                ",3,3,2,169 m²
278,Rinconada del Bosque,"
                    $65,000
                    
                ",4,4+,2,600 m²
279,Jardín Real,"
                    $40,000
                    
                ",5,4+,2,170 m²
280,Solares Residencial,"
                    $21,000
                    
                ",2,2,2,110 m²
281,Jardines de la Patria,"
                    $31,000
                    
                ",2,2,2,175 m²
282,Atlas Chapalita,"
                    $19,500
                    
                ",2,2,2,99 m²
283,Jardín Real,"
                    $21,000
                    
                ",3,3,2,218 m²
284,Victoria,"
                    $22,000
                    
                ",4,3,2,292 m²
285,Lagos del Country,"
                    $12,900
                    
                ",4,2,2,200 m²
286,Jardín de San Ignacio,"
                    $15,000
                    
                ",3,2,2,126 m²
287,Paseos del Sol,"
                    $6,500
                    
                ",2,1,1,55 m²
288,Juan Manuel Vallarta,"
                    $21,000
                    
                ",4,3,4+,250 m²
289,Mirador del Sol,"
                    $6,500
                    
                ",2,1,1,50 m²
290,Colli Urbano,"
                    $10,900
                    
                ",3,2,1,103 m²
291,Nuevo México,"
                    $13,500
                    
                ",3,2,2,102 m²
292,Heroes Nacionales,"
                    $14,200
                    
                ",3,2,2,102 m²
293,Granja,"
                    $13,800
                    
                ",3,3,2,121 m²
294,Zapopan,"
                    $25,000
                    
                ",3,3,2,144 m²
295,Solares Residencial,"
                    $29,000
                    
                ",3,4+,2,159 m²
296,Colinas de las Águilas,"
                    $12,500
                    
                ",3,2,1,62 m²
297,Hacienda de las Lomas,"
                    $26,500
                    
                ",2,2,2,91 m²
298,Jocotán Zapopan Jalisco,"
                    $20,000
                    
                ",2,2,2,91 m²
299,San Juan de Ocotán,"
                    $19,500
                    
                ",2,2,2,189 m²
300,Campo Real,"
                    $7,500
                    
                ",2,2,1,80 m²
301,Jacarandas,"
                    $46,000
                    
                ",3,4+,2,300 m²
302,El Bajío,"
                    $32,000
                    
                ",3,4+,2,300 m²
303,Bugambilias,"
                    $15,500
                    
                ",3,4+,2,240 m²
304,Jardines Universidad,"
                    $14,200
                    
                ",2,2,2,97 m²
305,Royal Country,"
                    $40,900
                    
                ",2,2,2,168 m²
306,Zona Real,"
                    $22,500
                    
                ",3,2,2,153 m²
307,Zona Real,"
                    $22,500
                    
                ",3,2,2,153 m²
308,Nuevo México,"
                    $19,500
                    
                ",2,3,2,140 m²
309,Colinas de Atemajac,"
                    $16,000
                    
                ",2,2,2,70 m²
